"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00708",21718.2012814814,-2.37464904480617,0.0720395320750822,-32.9631381049397,2.74262581096764e-238,3.64952074579427e-237
"PHJJKLOP_00387",2919.86234572782,-2.18971844964234,0.0664619319452265,-32.9469575372404,4.67690823460166e-238,6.195868696636e-237
"PHJJKLOP_01969",1442.0151488032,-2.7041052183293,0.0821443484741559,-32.9189441338142,1.17758444604063e-237,1.55316644557076e-236
"PHJJKLOP_01203",2027.66727992942,2.42213485817782,0.0738976770124182,32.7768741332802,1.25773772963387e-235,1.65160822917711e-234
"PHJJKLOP_00724",10857.8733387076,-2.46366928119779,0.0752000668836061,-32.7615304519747,2.08044584210848e-235,2.72002395252086e-234
"PHJJKLOP_02451",2780.57346823514,2.5354718964262,0.0775601662654733,32.6903875856554,2.13910070561335e-234,2.78455109243755e-233
"PHJJKLOP_01065",840.035689918827,-5.42358488396185,0.166081627534915,-32.6561400226022,6.55620153254629e-234,8.49751834997558e-233
"PHJJKLOP_01280",1637.2333095506,2.74811276453875,0.0842660415620976,32.612339604366,2.74164831163653e-233,3.53814441596541e-232
"PHJJKLOP_00242",1461.02871804929,-2.49460642828298,0.0766903159438125,-32.5283107467006,4.24353445282565e-232,5.45285070890987e-231
"PHJJKLOP_02399",2644.61625553487,2.36477817736568,0.0727890693355157,32.4880946954468,1.57050582308699e-231,2.00944206594976e-230
