"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01687",898.639514532421,907.53172333653,886.431186466646,747.393529013245,671.339551051947,800.672905212098
"PHJJKLOP_01688",2069.8740488973,1964.17910524087,1953.13538197404,1662.29060167867,1789.33281150823,1762.86769600535
"PHJJKLOP_01689",6335.52408381791,5867.84929278092,5973.54349484142,4595.42330628363,4074.24286245696,4038.04713952883
"PHJJKLOP_01690",1625.17454620452,1537.57006880846,1511.51984503398,1281.76624707753,1198.62648588627,1193.0819033111
"PHJJKLOP_01691",10567.6772730811,10420.3207232286,10351.2975132038,10619.1784603404,9526.49848759949,9544.65522648877
"PHJJKLOP_01692",14409.4189508894,13805.5424289931,13668.7475612318,11463.9789413688,10126.2647261911,9799.32470252776
"PHJJKLOP_01693",8153.59425846319,7442.94515646075,7524.53139510917,5519.42383240841,4915.00278604158,5143.92704326237
"PHJJKLOP_01694",6116.06199157991,5997.21453299537,5904.20772213344,5911.78267650671,4729.27457016351,5133.02679331518
"PHJJKLOP_01695",65.8386276713985,76.0391106604057,80.0028146630547,167.503543652177,166.702398641779,191.249839982593
"PHJJKLOP_01696",27.7215274405888,27.650585694693,37.3346468427589,152.938018117205,137.710677138861,129.812067552951
"PHJJKLOP_01697",101.645600615492,107.639780025769,110.937236332769,192.082867992442,173.950329017508,166.47654464806
"PHJJKLOP_01698",5058.0236942641,5844.1487907569,5654.59894038471,1638.62162268434,1704.1696295934,1786.6500595265
"PHJJKLOP_01699",386.946320524886,368.345302290017,388.280327164692,336.827777996225,279.951310762553,286.379294067198
"PHJJKLOP_01700",1345.64914451192,1299.57752765057,1328.04672340671,2126.56672810589,2017.6426183437,1830.25105931528
"PHJJKLOP_01701",1670.22202829548,1591.88371928018,1661.92513660052,1604.93884488471,1603.60459563016,1531.9805834875
"PHJJKLOP_01702",180.189928363827,188.616495274513,215.474247492494,383.255390638948,375.986388240969,369.617566391228
"PHJJKLOP_01703",537.104594161409,492.772937916136,475.750071196299,556.221006366739,486.517326470844,512.311747518137
"PHJJKLOP_01704",8381.14179620469,8154.94773809909,7812.54152789617,19502.3283459814,17038.0723307462,17624.7132328
"PHJJKLOP_01705",162.863973713459,160.96590957982,155.73881254408,96.4966066691887,80.6332254299909,92.1566586444617
"PHJJKLOP_01706",407.737466105327,421.671431844068,392.547143946722,250.344970132329,298.071136701877,253.678544225615
"PHJJKLOP_01707",571.756503462145,613.250489871584,560.019702641383,352.303648877132,388.670266398495,394.390861725761
"PHJJKLOP_01709",2873.79834467438,2837.14759645903,2739.29637406299,588.993438820426,652.313733815657,670.860837659146
"PHJJKLOP_01710",2038.68733052664,2184.39626988075,2438.48579092991,7042.43159615891,6717.9254670043,7083.1806020496
"PHJJKLOP_01711",61022.0122785962,63923.2165215418,64576.1385876268,138254.147687261,162475.949241432,167345.591848395
"PHJJKLOP_01712",38150.597076467,38291.1235825614,38606.1582438037,63900.7812126135,59865.1869296349,60688.6279787249
